Gene,Expression
ABHD17C,0.01170046801872075
ABHD18,0.0039001560062402497
ABHD2,0.12792511700468018
ABHD3,0.0171606864274571
ABHD4,0.0421216848673947
ABHD5,0.0039001560062402497
ABHD6,0.0062402496099844
ABHD8,0.0109204368174727
ABI1,0.13650546021840873
ABI2,0.11934477379095164
ABI3,0.00078003120124805
ABI3BP,0.01170046801872075
ABL1,0.0436817472698908
ABL2,0.046021840873634944
ABLIM1,0.00078003120124805
ABLIM2,0.00078003120124805
ABLIM3,0.00078003120124805
ABO,0.11076443057722309
ABR,0.0234009360374415
ABRA,0.0039001560062402497
ABRACL,0.14586583463338534
ABT1,0.060842433697347896
ABTB1,0.01794071762870515
ABTB2,0.00078003120124805
AC000036.4,0.0031201248049922
AC000068.5,0.00234009360374415
AC000095.12,0.0015600624024961
AC000120.7,0.0218408736349454
AC002064.5,0.00078003120124805
AC002076.10,0.0015600624024961
AC002116.7,0.00078003120124805
AC002310.11,0.00078003120124805
AC002310.12,0.0218408736349454
AC002310.7,0.00234009360374415
AC002398.11,0.00234009360374415
AC002429.5,0.0015600624024961
AC002451.3,0.00078003120124805
AC002454.1,0.0039001560062402497
AC002467.7,0.0015600624024961
AC002480.2,0.0015600624024961
AC002480.3,0.00078003120124805
AC003003.5,0.0015600624024961
AC003006.7,0.0015600624024961
AC003075.4,0.0046801872074883
AC003090.1,0.00078003120124805
AC004051.2,0.0015600624024961
AC004053.1,0.0093603744149766
AC004076.9,0.00078003120124805
AC004156.3,0.0078003120124804995
AC004158.3,0.00234009360374415
AC004381.6,0.06474258970358815
AC004490.1,0.0202808112324493
AC004540.4,0.0499219968798752
AC004540.5,0.01638065522620905
AC004893.11,0.0031201248049922
AC004901.1,0.00078003120124805
AC004951.6,0.00546021840873635
AC004980.7,0.00078003120124805
AC004988.1,0.00078003120124805
AC005042.4,0.0031201248049922
AC005062.2,0.0015600624024961
AC005076.5,0.00858034321372855
AC005083.1,0.01014040561622465
AC005150.1,0.00078003120124805
AC005154.6,0.030421216848673948
AC005224.2,0.0015600624024961
AC005235.1,0.00234009360374415
AC005264.2,0.00078003120124805
AC005301.9,0.0234009360374415
AC005307.5,0.0078003120124804995
AC005329.7,0.0015600624024961
AC005480.1,0.12012480499219969
AC005498.3,0.0015600624024961
AC005518.2,0.00078003120124805
AC005534.8,0.00078003120124805
AC005562.1,0.01170046801872075
AC005624.2,0.00078003120124805
AC005703.3,0.00078003120124805
AC005754.7,0.00078003120124805
AC005808.3,0.00078003120124805
AC005863.1,0.0015600624024961
AC006014.8,0.0031201248049922
AC006116.12,0.00078003120124805
AC006129.2,0.0031201248049922
AC006196.1,0.00234009360374415
AC006262.5,0.00234009360374415
AC006262.6,0.00078003120124805
AC006994.3,0.00078003120124805
AC007009.1,0.01794071762870515
AC007038.7,0.0039001560062402497
AC007099.1,0.0015600624024961
AC007131.1,0.00078003120124805
AC007228.11,0.01014040561622465
AC007246.3,0.0171606864274571
AC007255.8,0.00078003120124805
AC007292.6,0.00078003120124805
AC007325.1,0.0015600624024961
AC007325.2,0.00078003120124805
AC007325.4,0.00078003120124805
AC007349.7,0.00078003120124805
AC007364.1,0.00078003120124805
AC007383.3,0.00546021840873635
AC007386.2,0.0078003120124804995
AC007389.3,0.0031201248049922
AC007405.4,0.0015600624024961
AC007461.2,0.00078003120124805
AC007557.2,0.00078003120124805
AC007682.1,0.00234009360374415
AC007743.1,0.01014040561622465
AC007773.2,0.0031201248049922
AC007880.1,0.00078003120124805
AC008060.7,0.00078003120124805
AC008132.13,0.01014040561622465
AC008694.3,0.00078003120124805
AC008697.1,0.00078003120124805
AC008703.1,0.00078003120124805
AC009005.2,0.0015600624024961
AC009133.12,0.0015600624024961
AC009237.8,0.0031201248049922
AC009264.1,0.00234009360374415
AC009299.3,0.027301092043681748
AC009365.4,0.0015600624024961
AC009403.2,0.033541341653666144
AC009495.3,0.00078003120124805
AC009505.4,0.00078003120124805
AC009506.1,0.035101404056162244
AC009542.2,0.00078003120124805
AC009948.5,0.00078003120124805
AC009961.3,0.01014040561622465
AC010084.1,0.00078003120124805
AC010148.1,0.0015600624024961
AC010226.4,0.0046801872074883
AC010287.1,0.0046801872074883
AC010468.2,0.00078003120124805
AC010642.1,0.00234009360374415
AC010894.3,0.0031201248049922
AC010967.3,0.00078003120124805
AC011294.3,0.00234009360374415
AC011298.2,0.00078003120124805
AC011306.1,0.00078003120124805
AC011343.1,0.00078003120124805
AC011718.2,0.00078003120124805
AC011747.4,0.01794071762870515
AC011893.3,0.00078003120124805
AC011899.9,0.00234009360374415
AC012146.7,0.046801872074883
AC012314.8,0.00546021840873635
AC012361.1,0.00078003120124805
AC012456.3,0.00234009360374415
AC012513.6,0.00078003120124805
AC012613.2,0.0015600624024961
AC013271.5,0.0124804992199688
AC013275.2,0.00078003120124805
AC013401.2,0.00078003120124805
AC013460.1,0.00078003120124805
AC013461.1,0.12012480499219969
AC015922.6,0.0062402496099844
AC015969.3,0.00078003120124805
AC015971.2,0.00078003120124805
AC015987.1,0.00078003120124805
AC016582.2,0.00078003120124805
AC016629.3,0.00078003120124805
AC016735.1,0.0046801872074883
AC016738.4,0.0015600624024961
AC016747.3,0.038221528861154444
AC016757.3,0.00078003120124805
AC016909.1,0.00078003120124805
AC016910.1,0.00078003120124805
AC017002.1,0.00078003120124805
AC017074.1,0.00078003120124805
AC018462.2,0.0015600624024961
AC018737.3,0.00078003120124805
AC018755.16,0.0046801872074883
AC018755.18,0.0031201248049922
AC018816.3,0.00078003120124805
AC018866.1,0.00078003120124805
